orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
10248,1085,5,2015-07-04 00:00:00.000,2015-08-01 00:00:00.000,2015-07-16 00:00:00.000,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
10249,1079,6,2015-07-05 00:00:00.000,2015-08-16 00:00:00.000,2015-07-10 00:00:00.000,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany
10250,1034,4,2015-07-08 00:00:00.000,2015-08-05 00:00:00.000,2015-07-12 00:00:00.000,2,65.83,Hanari Carnes,Rua do Paço, 67,Rio de Janeiro,RJ,05454-876,Brazil
10251,1084,3,2015-07-08 00:00:00.000,2015-08-05 00:00:00.000,2015-07-15 00:00:00.000,1,41.34,Victuailles en stock,2, rue du Commerce,Lyon,,69004,France
10252,1076,4,2015-07-09 00:00:00.000,2015-08-06 00:00:00.000,2015-07-11 00:00:00.000,2,51.30,Suprêmes délices,Boulevard Tirou, 255,Charleroi,,B-6000,Belgium
10253,1034,3,2015-07-10 00:00:00.000,2015-07-24 00:00:00.000,2015-07-16 00:00:00.000,2,58.17,Hanari Carnes,Rua do Paço, 67,Rio de Janeiro,RJ,05454-876,Brazil
10254,1014,5,2015-07-11 00:00:00.000,2015-08-08 00:00:00.000,2015-07-23 00:00:00.000,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland
10255,1068,9,2015-07-12 00:00:00.000,2015-08-09 00:00:00.000,2015-07-15 00:00:00.000,3,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland
10256,1088,3,2015-07-15 00:00:00.000,2015-08-12 00:00:00.000,2015-07-17 00:00:00.000,2,13.97,Wellington Importadora,Rua do Mercado, 12,Resende,SP,08737-363,Brazil
10257,1035,4,2015-07-16 00:00:00.000,2015-08-13 00:00:00.000,2015-07-22 00:00:00.000,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10258,1020,1,2015-07-17 00:00:00.000,2015-08-14 00:00:00.000,2015-07-23 00:00:00.000,1,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10259,1013,4,2015-07-18 00:00:00.000,2015-08-15 00:00:00.000,2015-07-25 00:00:00.000,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico
10260,1056,4,2015-07-19 00:00:00.000,2015-08-16 00:00:00.000,2015-07-29 00:00:00.000,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany
10261,1061,4,2015-07-19 00:00:00.000,2015-08-16 00:00:00.000,2015-07-30 00:00:00.000,2,3.05,Que Delícia,Rua da Panificadora, 12,Rio de Janeiro,RJ,02389-673,Brazil
10262,1065,8,2015-07-22 00:00:00.000,2015-08-19 00:00:00.000,2015-07-25 00:00:00.000,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10263,1020,9,2015-07-23 00:00:00.000,2015-08-20 00:00:00.000,2015-07-31 00:00:00.000,3,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10264,1024,6,2015-07-24 00:00:00.000,2015-08-21 00:00:00.000,2015-08-23 00:00:00.000,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
10265,1007,2,2015-07-25 00:00:00.000,2015-08-22 00:00:00.000,2015-08-12 00:00:00.000,1,55.28,Blondel père et fils,24, place Kléber,Strasbourg,,67000,France
10266,1087,3,2015-07-26 00:00:00.000,2015-09-06 00:00:00.000,2015-07-31 00:00:00.000,3,25.73,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10267,1025,4,2015-07-29 00:00:00.000,2015-08-26 00:00:00.000,2015-08-06 00:00:00.000,1,208.58,Frankenversand,Berliner Platz 43,München,,80805,Germany
10268,1033,8,2015-07-30 00:00:00.000,2015-08-27 00:00:00.000,2015-08-02 00:00:00.000,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
10269,1089,5,2015-07-31 00:00:00.000,2015-08-14 00:00:00.000,2015-08-09 00:00:00.000,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10270,1087,1,2015-08-01 00:00:00.000,2015-08-29 00:00:00.000,2015-08-02 00:00:00.000,1,136.54,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10271,1075,6,2015-08-01 00:00:00.000,2015-08-29 00:00:00.000,2015-08-30 00:00:00.000,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10272,1065,6,2015-08-02 00:00:00.000,2015-08-30 00:00:00.000,2015-08-06 00:00:00.000,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10273,1063,3,2015-08-05 00:00:00.000,2015-09-02 00:00:00.000,2015-08-12 00:00:00.000,3,76.07,1063-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
10274,1085,6,2015-08-06 00:00:00.000,2015-09-03 00:00:00.000,2015-08-16 00:00:00.000,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
10275,1049,1,2015-08-07 00:00:00.000,2015-09-04 00:00:00.000,2015-08-09 00:00:00.000,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
10276,1080,8,2015-08-08 00:00:00.000,2015-08-22 00:00:00.000,2015-08-14 00:00:00.000,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
10277,1052,2,2015-08-09 00:00:00.000,2015-09-06 00:00:00.000,2015-08-13 00:00:00.000,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Germany
10278,1005,8,2015-08-12 00:00:00.000,2015-09-09 00:00:00.000,2015-08-16 00:00:00.000,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
10279,1044,8,2015-08-13 00:00:00.000,2015-09-10 00:00:00.000,2015-08-16 00:00:00.000,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
10280,1005,2,2015-08-14 00:00:00.000,2015-09-11 00:00:00.000,2015-09-12 00:00:00.000,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
10281,1069,4,2015-08-14 00:00:00.000,2015-08-28 00:00:00.000,2015-08-21 00:00:00.000,1,2.94,Romero y tomillo,Gran Vía, 1,Madrid,,28001,Spain
